CHEMICAL_ID,COMP_ID,                               Group   HMDB_ID,                               Sample   HMDB_ID,BIOCHEMICAL,CAS,CHEMSPIDER,KEGG,MASS,PATHWAY_SORTORDER,PLATFORM,PUBCHEM,RI,SUB_PATHWAY,SUPER_PATHWAY,COMMENT
100000672,19258,HMDB07869,,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),69525-80-0,114798.0,,706.53813,1645.0,LC/MS Pos Late,129657.0,2147.0,Phosphatidylcholine (PC),Lipid,1-myristoyl-2-palmitoyl-GPC (14:0/16:0)
100001618,35625,HMDB11561,,1-myristoylglycerol (14:0),75685-84-6,71382.0,C01885,227.20163,2162.0,LC/MS Neg,79050.0,6353.3,Monoacylglycerol,Lipid,1-myristoylglycerol (14:0)
100009130,52697,HMDB08123,,1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*,,24766785.0,,832.58509,1769.0,LC/MS Pos Late,,2011.0,Phosphatidylcholine (PC),Lipid,1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*
100009220,53209,,,1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*,,24768542.0,,790.53813,1837.0,LC/MS Pos Late,,2119.0,Phosphatidylethanolamine (PE),Lipid,1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*
100001272,48258,HMDB02815,,1-oleoyl-GPC (18:1),19420-56-5,17240641.0,,522.35542,1944.0,LC/MS Pos Late,16081932.0,1540.0,Lysophospholipid,Lipid,1-oleoyl-GPC (18:1)
100001569,35628,HMDB11506,,1-oleoyl-GPE (18:1),89576-29-4,7826021.0,,480.30847,1986.0,LC/MS Pos Late,9547071.0,1554.0,Lysophospholipid,Lipid,1-oleoyl-GPE (18:1)
100005716,45968,,,1-oleoyl-GPG (18:1)*,,34999689.0,,509.28849,2012.0,LC/MS Neg,,5610.0,Lysophospholipid,Lipid,1-oleoyl-GPG (18:1)*
100001777,36602,,,1-oleoyl-GPI (18:1)*,,,,597.30453,2020.0,LC/MS Neg,,5599.0,Lysophospholipid,Lipid,1-oleoyl-GPI (18:1)*
100000924,21184,HMDB11567,,1-oleoylglycerol (18:1),111-03-5,4446588.0,,281.24858,2169.0,LC/MS Neg,5283468.0,6650.0,Monoacylglycerol,Lipid,1-oleoylglycerol (18:1)
100009345,53180,HMDB08008,,1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*,,24766677.0,,754.53813,1687.0,LC/MS Pos Late,,1850.0,Phosphatidylcholine (PC),Lipid,1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*
100009075,52683,HMDB08006,,1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*,,24766675.0,,756.55378,1685.0,LC/MS Pos Late,,2003.0,Phosphatidylcholine (PC),Lipid,1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*
100001511,33230,HMDB10383,,1-palmitoleoyl-GPC (16:1)*,,21403152.0,,494.32412,1937.0,LC/MS Pos Late,24779461.0,1450.0,Lysophospholipid,Lipid,1-palmitoleoyl-GPC (16:1)*
100008952,52431,HMDB11565,,1-palmitoleoylglycerol (16:1)*,,,,253.21727,2166.0,LC/MS Neg,,6094.0,Monoacylglycerol,Lipid,1-palmitoleoylglycerol (16:1)*
100008914,52462,HMDB07982,,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),35418-58-7,8923140.0,,782.56944,1701.0,LC/MS Pos Late,10747814.0,2091.0,Phosphatidylcholine (PC),Lipid,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)
100008990,52464,HMDB05323,,1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,,7825750.0,,740.52248,1795.0,LC/MS Pos Late,9546800.0,2198.0,Phosphatidylethanolamine (PE),Lipid,1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*
100008993,52467,HMDB09789,,1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*,,24767674.0,,876.55966,1889.0,LC/MS Pos Late,,2567.0,Phosphatidylinositol (PI),Lipid,1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*
100008915,52610,HMDB07991,,1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6),59403-54-2,4946007.0,,806.56944,1717.0,LC/MS Pos Late,6441886.0,2023.0,Phosphatidylcholine (PC),Lipid,1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)
100008991,52465,HMDB05324,,1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*,,7825749.0,,764.52248,1799.0,LC/MS Pos Late,9546799.0,2119.0,Phosphatidylethanolamine (PE),Lipid,1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*
100009154,54812,HMDB07974,,1-palmitoyl-2-gamma-linolenoyl-GPC (16:0/18:3n6)*,,24766645.0,,756.55378,1678.0,LC/MS Pos Late,,2034.0,Phosphatidylcholine (PC),Lipid,1-palmitoyl-2-gamma-linolenoyl-GPC (16:0/18:3n6)*
1537,42446,HMDB07973,,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),40811-94-7,4450224.0,,758.56944,1673.0,LC/MS Pos Late,5287971.0,2160.0,Phosphatidylcholine (PC),Lipid,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)
100001870,42449,HMDB05322,,1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),,7825697.0,,716.52248,1786.0,LC/MS Pos Late,9546747.0,2275.0,Phosphatidylethanolamine (PE),Lipid,1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)
1528,52450,HMDB09784,,1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),,21403024.0,,852.55966,1885.0,LC/MS Pos Late,,2730.0,Phosphatidylinositol (PI),Lipid,1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)
1539,52461,HMDB07972,,1-palmitoyl-2-oleoyl-GPC (16:0/18:1),26853-31-6;26853-31-6,4940699.0,,760.58509,1667.0,LC/MS Pos Late,6436017.0,2358.0,Phosphatidylcholine (PC),Lipid,1-palmitoyl-2-oleoyl-GPC (16:0/18:1)
1526,19263,HMDB05320,,1-palmitoyl-2-oleoyl-GPE (16:0/18:1),26662-94-2,4446615.0,,718.53813,1785.0,LC/MS Pos Late,5283496.0,2509.0,Phosphatidylethanolamine (PE),Lipid,1-palmitoyl-2-oleoyl-GPE (16:0/18:1)
100009066,52669,HMDB09783,,1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,,24767668.0,,854.57531,1881.0,LC/MS Pos Late,,3140.0,Phosphatidylinositol (PI),Lipid,1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*
100008984,52470,HMDB07969,,1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,,,,732.55378,1660.0,LC/MS Pos Late,,2160.0,Phosphatidylcholine (PC),Lipid,1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*
100001445,34428,HMDB00327,,1-palmitoyl-GPA (16:0),17618-08-5,4925335.0,C04036,409.23606,1922.0,LC/MS Neg,6419701.0,5600.0,Lysophospholipid,Lipid,1-palmitoyl-GPA (16:0)
100001263,33955,HMDB10382,,1-palmitoyl-GPC (16:0),17364-16-8,78064.0,,496.33977000000004,1935.0,LC/MS Pos Late,86554.0,1525.0,Lysophospholipid,Lipid,1-palmitoyl-GPC (16:0)
100001567,35631,HMDB11503,,1-palmitoyl-GPE (16:0),53862-35-4,7826019.0,,454.29282,1979.0,LC/MS Pos Late,9547069.0,1544.0,Lysophospholipid,Lipid,1-palmitoyl-GPE (16:0)
100005717,45970,,,1-palmitoyl-GPG (16:0)*,,2548639.0,,483.27284000000003,2008.0,LC/MS Neg,3300276.0,5570.0,Lysophospholipid,Lipid,1-palmitoyl-GPG (16:0)*
100001655,35305,HMDB61695,,1-palmitoyl-GPI (16:0),,,,571.28888,2015.0,LC/MS Neg,,5564.0,Lysophospholipid,Lipid,1-palmitoyl-GPI (16:0)
100000827,21127,HMDB31074,,1-palmitoylglycerol (16:0),542-44-9,14201.0,,255.23292999999998,2165.0,LC/MS Neg,14900.0,6550.0,Monoacylglycerol,Lipid,1-palmitoylglycerol (16:0)
100001869,42450,HMDB08048,,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),35418-59-8,17347139.0,,810.6007400000001,1753.0,LC/MS Pos Late,16219824.0,2300.0,Phosphatidylcholine (PC),Lipid,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)
100008977,52447,HMDB09003,,1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),,4451158.0,,768.55378,1819.0,LC/MS Pos Late,5289133.0,2424.0,Phosphatidylethanolamine (PE),Lipid,1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)
100000616,52449,HMDB09815,,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),383907-33-3,21403055.0,,904.59096,1913.0,LC/MS Pos Late,,3000.0,Phosphatidylinositol (PI),Lipid,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)
100008916,52611,HMDB08057,,1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),59403-52-0,,,834.60128,1766.0,LC/MS Pos Late,,2197.0,Phosphatidylcholine (PC),Lipid,1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)
100008992,52466,HMDB05334,,1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*,,7825748.0,,792.55378,1835.0,LC/MS Pos Late,9546798.0,2317.0,Phosphatidylethanolamine (PE),Lipid,1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*
100008980,52452,HMDB08039,,1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,,,,786.6007400000001,1737.0,LC/MS Pos Late,,2380.0,Phosphatidylcholine (PC),Lipid,1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*
100008976,52446,HMDB08994,,1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,,7825699.0,,744.55378,1806.0,LC/MS Pos Late,9546749.0,2522.0,Phosphatidylethanolamine (PE),Lipid,1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*
100008994,52468,HMDB09809,,1-stearoyl-2-linoleoyl-GPI (18:0/18:2),,24767694.0,,880.59096,1896.0,LC/MS Pos Late,,3185.0,Phosphatidylinositol (PI),Lipid,1-stearoyl-2-linoleoyl-GPI (18:0/18:2)
100008904,52438,HMDB08038,,1-stearoyl-2-oleoyl-GPC (18:0/18:1),56421-10-4,24766704.0,,788.61639,1731.0,LC/MS Pos Late,,2644.0,Phosphatidylcholine (PC),Lipid,1-stearoyl-2-oleoyl-GPC (18:0/18:1)
100001856,42448,HMDB08993,,1-stearoyl-2-oleoyl-GPE (18:0/18:1),,,,746.56944,1800.0,LC/MS Pos Late,,2858.0,Phosphatidylethanolamine (PE),Lipid,1-stearoyl-2-oleoyl-GPE (18:0/18:1)
100009181,52726,,,1-stearoyl-2-oleoyl-GPI (18:0/18:1)*,,,,882.6066099999999,1894.0,LC/MS Pos Late,,3711.0,Phosphatidylinositol (PI),Lipid,1-stearoyl-2-oleoyl-GPI (18:0/18:1)*
100000639,19265,HMDB10163,,1-stearoyl-2-oleoyl-GPS (18:0/18:1),,7826037.0,,790.55926,1853.0,LC/MS Pos Late,9547087.0,3000.0,Phosphatidylserine (PS),Lipid,1-stearoyl-2-oleoyl-GPS (18:0/18:1)
100001271,33961,HMDB10384,,1-stearoyl-GPC (18:0),19420-57-6,435389.0,,524.37107,1942.0,LC/MS Pos Late,497299.0,1606.0,Lysophospholipid,Lipid,1-stearoyl-GPC (18:0)
100001461,42398,HMDB11130,,1-stearoyl-GPE (18:0),69747-55-3,7826018.0,,482.32412,1984.0,LC/MS Pos Late,9547068.0,1626.0,Lysophospholipid,Lipid,1-stearoyl-GPE (18:0)
100001462,34437,,,1-stearoyl-GPG (18:0),,21403138.0,,511.30414,2010.0,LC/MS Neg,,5816.0,Lysophospholipid,Lipid,1-stearoyl-GPG (18:0)
100000656,19324,HMDB61696,,1-stearoyl-GPI (18:0),796963-93-4,21403067.0,,599.3201799999999,2018.0,LC/MS Neg,,5794.0,Lysophospholipid,Lipid,1-stearoyl-GPI (18:0)
100004327,45966,,,1-stearoyl-GPS (18:0)*,,7826051.0,,524.29939,2003.0,LC/MS Neg,9547101.0,5800.0,Lysophospholipid,Lipid,1-stearoyl-GPS (18:0)*
100001278,33971,HMDB60038,,10-heptadecenoate (17:1n7),29743-97-3,4471860.0,,267.23295,1130.0,LC/MS Neg,5312435.0,5555.0,Long Chain Fatty Acid,Lipid,10-heptadecenoate (17:1n7)
100001277,33972,HMDB13622,,10-nonadecenoate (19:1n9),73033-09-7,4471938.0,,295.26425,1142.0,LC/MS Neg,5312513.0,5780.0,Long Chain Fatty Acid,Lipid,10-nonadecenoate (19:1n9)
100001197,32497,HMDB33724,,10-undecenoate (11:1n1),1333-28-4,10771160.0,C13910,183.13905,1117.0,LC/MS Neg,14891.0,5085.8,Medium Chain Fatty Acid,Lipid,10-undecenoate (11:1n1)
62,38395,HMDB04705,,"12,13-DiHOME",263399-35-5,8412123.0,C14829,313.23843,1469.0,LC/MS Neg,10236635.0,5137.0,"Fatty Acid, Dihydroxy",Lipid,"12,13-DiHOME"
100002167,37536,HMDB06111,,12-HETE,71030-37-0;73837-14-6,21509475.0,,319.22786,1546.0,LC/MS Neg,5312983.0,5326.0,Eicosanoid,Lipid,12-HETE
1261,57393,HMDB12535,,12-HHTrE,54397-84-1,4446265.0,C20388,279.19657,1550.0,LC/MS Neg,5283141.0,5175.0,Eicosanoid,Lipid,12-HHTrE
100002196,37752,,,13-HODE + 9-HODE,,,,295.22825,1447.0,LC/MS Neg,43013.0,5275.0,"Fatty Acid, Monohydroxy",Lipid,13-HODE + 9-HODE
100002344,38293,,,13-methylmyristate,2485-71-4,133106.0,,241.2173,1235.0,LC/MS Neg,151014.0,5499.0,"Fatty Acid, Branched",Lipid,13-methylmyristate
100009278,53034,,,14-HDoHE/17-HDoHE,,,,343.22786,1450.0,LC/MS Neg,,5296.0,"Fatty Acid, Monohydroxy",Lipid,14-HDoHE/17-HDoHE
100002945,38768,,,15-methylpalmitate,,,,269.24868,1238.0,LC/MS Neg,17903417.0,5695.0,"Fatty Acid, Branched",Lipid,15-methylpalmitate
100002126,38168,,,16a-hydroxy DHEA 3-sulfate,,,,383.15337999999997,2533.0,LC/MS Neg,,4240.0,Androgenic Steroids,Lipid,16a-hydroxy DHEA 3-sulfate
100002356,38296,HMDB37397,,17-methylstearate,2724-59-6,2340933.0,,297.2799,1241.0,LC/MS Neg,3083779.0,5993.0,"Fatty Acid, Branched",Lipid,17-methylstearate
100005418,47403,,,17alpha-hydroxypregnanolone glucuronide,,,,509.2756,2468.0,LC/MS Neg,,5071.9,Pregnenolone Steroids,Lipid,17alpha-hydroxypregnanolone glucuronide
100002128,37482,HMDB00416,,17alpha-hydroxypregnenolone 3-sulfate,28901-70-4,134824.0,,411.18467999999996,2467.0,LC/MS Neg,152971.0,4800.0,Pregnenolone Steroids,Lipid,17alpha-hydroxypregnenolone 3-sulfate
100004601,57783,,,1H-indole-7-acetic acid,39689-63-9,13535457.0,,174.05605,4076.0,LC/MS Polar,,922.0,Bacterial/Fungal,Xenobiotics,1H-indole-7-acetic acid
536,1412,HMDB00012,,2'-deoxyuridine,951-78-0,13118.0,C00526,111.01997,3332.0,LC/MS Neg,13712.0,1586.0,"Pyrimidine Metabolism, Uracil containing",Nucleotide,2'-deoxyuridine
100010895,57554,,,2'-O-methylcytidine,2140-72-9,133067.0,,258.10845,3356.0,LC/MS Pos Early,150971.0,2411.0,"Pyrimidine Metabolism, Cytidine containing",Nucleotide,2'-O-methylcytidine
